,AUC,AP,HSIC,p_value,#0.05,cov_1,delta,k
0,0.9012851003888985,0.8729121319337498,0.02199505,1.4875612753548612e-105,True,0.7885671257972717,0,0
1,0.8632322469352549,0.8407478601126386,0.0021866288,8.561054616793121e-29,True,0.3216969072818756,10,0
2,0.8401841398809828,0.7991117142643746,0.00012910404,0.0018703682364094383,True,0.09019416570663452,100,0
3,0.787902295624126,0.7378857508148311,3.398002e-05,0.1098525820400821,False,0.04960038140416145,200,0
4,0.829415427329053,0.778179324134544,1.6559605e-05,0.3861374761428397,False,0.029633548110723495,500,0
5,0.8534740581204259,0.8269082811489288,8.492734e-06,0.535429619905563,False,0.030656781047582626,1000,0
6,0.8477171350120956,0.8253273664433339,2.6616717e-06,0.8004001763212858,False,0.08998584747314453,2000,0
7,0.8948270584634221,0.8678251550427472,0.024463488,8.176655804515408e-125,True,0.8499098420143127,0,1
8,0.8803020099989798,0.8616816873977174,0.0018916907,8.337054673549203e-23,True,0.3164443373680115,10,1
9,0.8638465462707887,0.8318472469396511,0.00010080397,0.03297166566405147,True,0.13715438544750214,100,1
10,0.8341271298847055,0.8024784168851753,3.4421475e-05,0.3934922494731832,False,0.023630205541849136,200,1
11,0.799124579124579,0.7421303578454019,1.7166763e-05,0.6636732728208503,False,0.01600072905421257,500,1
12,0.8420365268850117,0.8211715068697244,7.6002307e-06,0.7931145308102076,False,0.017591187730431557,1000,1
13,0.8217610447913478,0.7973165775312125,2.4622707e-06,0.8434053595084856,False,0.025551946833729744,2000,1
14,0.9102127659574468,0.890184571848734,0.019484742,2.6260975729258635e-109,True,0.8310003280639648,0,2
15,0.8732639203259394,0.8437718744759548,0.0017812665,7.736484218501266e-22,True,0.412664532661438,10,2
16,0.8536034404708013,0.820542888973125,0.00012281696,0.001197074525990254,True,0.12454088777303696,100,2
17,0.8633861475780897,0.8275233853080963,0.00013446699,5.723638290886462e-05,True,0.45604294538497925,200,2
18,0.8353915799004075,0.8128578542548792,1.7578383e-05,0.1805264684676536,False,0.07809988409280777,500,2
19,0.8498596650067904,0.8117181157408945,5.927301e-06,0.6051121008222116,False,0.028746120631694794,1000,2
20,0.817987777274785,0.7720292233831263,3.4359573e-06,0.5911702600394322,False,0.050514642149209976,2000,2
21,0.8812618046258357,0.8690889548897197,0.027305175,6.873858176806485e-142,True,0.8820429444313049,0,3
22,0.8206553342258646,0.7943460120527522,0.0012155204,2.6493573280874e-16,True,0.22830164432525635,10,3
23,0.8242119355754799,0.7875177625710328,8.449501e-05,0.025069422977553303,True,0.07144945114850998,100,3
24,0.8380596914005977,0.8071842938288374,5.4051987e-05,0.14400528461201217,False,0.05011174455285072,200,3
25,0.821308955513183,0.7850468570050636,1.148956e-05,0.725424908914035,False,0.029494434595108032,500,3
26,0.7899261182558678,0.747248238656473,7.17867e-06,0.5651775061039991,False,0.023519515991210938,1000,3
27,0.8307030711185037,0.8118429596066276,3.7855202e-06,0.7364092304498396,False,0.05690306797623634,2000,3
28,0.8897620464009519,0.886927715038712,0.021511717,1.8010247402123785e-106,True,0.5223120450973511,0,4
29,0.8646579417013682,0.8242086413206021,0.0017313121,7.247277536134602e-30,True,0.2791758179664612,10,4
30,0.8214158239143367,0.7732242766093091,0.00014025363,0.00042295847325953255,True,0.09053897112607956,100,4
31,0.8360737656157049,0.7974341231953341,3.872711e-05,0.11491765504545419,False,0.06166863441467285,200,4
32,0.7829863176680546,0.7359371712418514,6.8400072e-06,0.5213056327654952,False,0.01229411456733942,500,4
33,0.846073765615705,0.8229239894050201,7.3325414e-06,0.34919859836225775,False,0.03540230914950371,1000,4
34,0.8429030339083879,0.8052211863050647,2.4105304e-06,0.5559720518117951,False,0.04330262541770935,2000,4
35,0.9012350045269352,0.8872430796359786,0.0259275,2.4167189907961545e-155,True,0.8680280447006226,0,5
36,0.8817621095518334,0.869013420311616,0.0013548014,2.8076475114109734e-13,True,0.19759289920330048,10,5
37,0.8562415119963783,0.83103352510005,8.748695e-05,0.20777708100457357,False,0.06212552636861801,100,5
38,0.8514174966047985,0.817870429275839,4.5322482e-05,0.5326654688361516,False,0.04845377057790756,200,5
39,0.84616200769579,0.8051392820649452,1.2834428e-05,0.8472217141413136,False,0.0278642401099205,500,5
40,0.8602591670439113,0.8416326569913026,8.328063e-06,0.8998170704514381,False,0.02086864411830902,1000,5
41,0.8435873132639203,0.8157872181456464,5.551338e-06,0.9312438141816094,False,0.020108073949813843,2000,5
42,0.8795265945516968,0.84135895196107,0.025182085,2.579922358920886e-128,True,0.8298978209495544,0,6
43,0.852762394401026,0.8182601410554611,0.0014890034,1.2120670661492553e-15,True,0.2891322672367096,10,6
44,0.8560230951929103,0.8075179815010869,0.0001193364,0.044170373105066774,True,0.05798573046922684,100,6
45,0.8480754964373824,0.8113920342140176,5.3931348e-05,0.29857103929675405,False,0.05439223349094391,200,6
46,0.8364416380564613,0.7924852410295267,1.4536576e-05,0.7153168876447702,False,0.029978742823004723,500,6
47,0.8415713472387558,0.8087669529486208,8.055193e-06,0.8457896826004936,False,0.02633506804704666,1000,6
